answer,correction
lostartan,losartan
almoyriptan,almotriptan
azathioprime,azathioprine
canaglifozin,canagliflozin
marol,matol
diazepan,diazepam
mrtformin,metformin
simvastatins,simvastatin
linaglitin,linagliptin
cialopram,citalopram
citalpram,citalopram
temisartan,telmisartan
consentyx,cosentyx
codine,codeine
candesatan,candesartan
lansoprozole,lansoprazole
celebcoxib,celecoxib
bisoprolo,bisoprolol
lisinoplril,lisinopril
hylo,tylo
prostate,prostat
votarol,voltarol
dulagutide,dulaglutide
tegratol,tegretol
clopidrogrel,clopidogrel
cetirazine,cetirizine
oesomeprazole,esomeprazole
imipren,imiprex
nitrofurantodine,nitrofurantoine
roprinirole,ropinirole
evothyroxine,levothyroxine
omerprazole,omeprazole
liptor,lipitor
alburterol,albuterol
betahisine,betahistine
oomeprazole,omeprazole
nizorel,nizoral
omaprazole,omeprazole
citralopram,citalopram
cocodamol,co-codamol
utrogetstan,utrogestan
predinisolone,prednisolone
arorvastatin,atorvastatin
eplerenome,eplerenone
venlaflaxine,venlafaxine
depo,denpo
sertaline,sertraline
carbrimazole,carbimazole
mirtatapine,mirtazapine
citalopran,citalopram
merbeverine,mebeverine
tamsulosim,tamsulosin
raberazole,rabeprazole
rasagaline,rasagiline
doxycyclind,doxycycline
beclometastone,beclometasone
nori,nora
rizatripan,rizatriptan
cerazzette,cerazette
fluox,flurox
colrcalciferol,colecalciferol
fexofenadrine,fexofenadine
pregablin,pregabalin
levothyoxine,levothyroxine
adcal-d,adcal-d3
irbesatan,irbesartan
zolmig,zomig
alfacacidol,alfacalcidol
setraline,sertraline
promethizine,promethazine
aspiren,aspirin
biscoprolol,bisoprolol
ansoprazole,lansoprazole
opeprazole,omeprazole
destrogel,estrogel
fapagliflozin,dapagliflozin
zolair,xolair
aveena,aveeno
hydroychloroquine,hydroxychloroquine
rosuvastain,rosuvastatin
lansoprazle,lansoprazole
circlosporin,ciclosporin
montelulast,montelukast
amilodipine,amlodipine
buscapan,buscopan
felopipine,felodipine
sertealine,sertraline
monteluksat,montelukast
amamys,avamys
statin,statis
ultrogestan,utrogestan
finateride,finasteride
codydramol,co-dydramol
pregabulin,pregabalin
atorvatatin,atorvastatin
omeparzole,omeprazole
buesonide,budesonide
prostab,prostat
pregabaline,pregabalin
citilopram,citalopram
gederel,gedarel
letrosole,letrozole
stertraline,sertraline
naproxed,naproxen
clenhil,clenil
colchocine,colchicine
simvastation,simvastatin
citalogram,citalopram
perindoprip,perindopril
ezectimibe,ezetimibe
amlodopine,amlodipine
vitamind,vitamin d
propananol,propanalol
desogsestrel,desogestrel
morphone,morphine
gapapentin,gabapentin
lipitar,lipitor
zapaine,zapain
pollanase,pollenase
symvastatin,simvastatin
zalatan,xalatan
invermectin,ivermectin
utrogesan,utrogestan
propanadol,propanalol
folicacid,folic acid
amolodipine,amlodipine
adal-d3,adcal-d3
